group,cell_id,sheath_id,sheath_length,somas,bites
sib_mtz,8,5,46.297,0,0
sib_mtz,8,6,35.535,0,0
sib_mtz,8,7,43.768,0,0
sib_mtz,8,8,20.381,0,0
sib_mtz,8,9,46.473,0,0
sib_mtz,8,10,11.314,0,0
sib_mtz,8,11,44.058,0,0
sib_mtz,9,1,55.87,0,2
sib_mtz,9,2,52.665,0,2
sib_mtz,9,3,25.297,0,2
sib_mtz,9,4,31.164,0,2
sib_mtz,9,5,36.991,0,2
sib_mtz,9,6,22.945,0,2
sib_mtz,9,7,27.847,0,2
sib_mtz,9,8,37.87,0,2
sib_mtz,9,9,21.137,0,2
sib_mtz,9,10,21.553,0,2
sib_mtz,9,11,39.318,0,2
sib_mtz,9,12,30.009,0,2
sib_mtz,9,13,39.35,0,2
sib_mtz,9,14,33.042,0,2
sib_mtz,9,15,41.097,0,2
sib_mtz,9,16,38.159,0,2
sib_mtz,10,1,46.647,0,0
sib_mtz,10,2,46.085,0,0
sib_mtz,10,3,31.796,0,0
sib_mtz,10,4,15.871,0,0
sib_mtz,10,5,16.373,0,0
sib_mtz,10,6,38.096,0,0
sib_mtz,10,7,24.521,0,0
sib_mtz,10,8,51.672,0,0
sib_mtz,10,9,29.706,0,0
sib_mtz,11,1,41.875,0,0
sib_mtz,11,2,31.249,0,0
sib_mtz,11,3,23.883,0,0
sib_mtz,11,4,15.849,0,0
sib_mtz,11,5,17.48,0,0
sib_mtz,11,6,17.877,0,0
sib_mtz,11,7,14.133,0,0
sib_mtz,11,8,25.624,0,0
sib_mtz,11,9,24.526,0,0
sib_mtz,11,10,15.245,0,0
sib_mtz,11,11,12.1,0,0
sib_mtz,11,12,6.859,0,0
ctrl_MO,1,1,7.122,0,1
ctrl_MO,1,2,39.618,0,1
ctrl_MO,1,3,35.819,0,1
ctrl_MO,1,4,17.956,0,1
ctrl_MO,1,5,16.383,0,1
ctrl_MO,1,6,29.205,0,1
ctrl_MO,1,7,15.548,0,1
ctrl_MO,1,8,20.203,0,1
ctrl_MO,1,9,31.266,0,1
ctrl_MO,1,10,31.122,0,1
ctrl_MO,1,11,14.907,0,1
ctrl_MO,1,12,13.262,0,1
ctrl_MO,1,13,2.978,0,1
ctrl_MO,2,1,42.386,0,0
ctrl_MO,2,2,17.206,0,0
ctrl_MO,2,3,23.682,0,0
ctrl_MO,2,4,17.638,0,0
ctrl_MO,2,5,24.739,0,0
ctrl_MO,2,6,27.541,0,0
ctrl_MO,2,7,55.468,0,0
ctrl_MO,2,8,15.667,0,0
ctrl_MO,2,9,60.502,0,0
ctrl_MO,2,10,26.222,0,0
ctrl_MO,2,11,61.782,0,0
ctrl_MO,2,12,22.886,0,0
ctrl_MO,2,13,44.327,0,0
ctrl_MO,2,14,34.935,0,0
ctrl_MO,3,1,30.928,0,1
ctrl_MO,3,2,79.771,0,1
ctrl_MO,3,3,34.205,0,1
ctrl_MO,3,4,34.522,0,1
ctrl_MO,3,5,18.28,0,1
ctrl_MO,3,6,37.335,0,1
ctrl_MO,3,7,67.238,0,1
ctrl_MO,3,8,18.326,0,1
ctrl_MO,3,9,25.587,0,1
ctrl_MO,3,10,46.347,0,1
ctrl_MO,4,1,21.947,0,0
ctrl_MO,4,2,15.031,0,0
ctrl_MO,4,3,24.216,0,0
ctrl_MO,4,4,28.181,0,0
ctrl_MO,4,5,19.399,0,0
ctrl_MO,4,6,22.584,0,0
ctrl_MO,4,7,53.799,0,0
ctrl_MO,4,8,36.705,0,0
ctrl_MO,4,9,48.41,0,0
ctrl_MO,4,10,10.585,0,0
ctrl_MO,4,11,19.977,0,0
ctrl_MO,4,12,20.573,0,0
ctrl_MO,5,1,53.003,0,1
ctrl_MO,5,2,52.536,0,1
ctrl_MO,5,3,115.132,0,1
ctrl_MO,5,4,50.095,0,1
ctrl_MO,5,5,74.025,0,1
ctrl_MO,5,6,95.86,0,1
ctrl_MO,5,7,22.561,0,1
ctrl_MO,6,1,45.373,0,0
ctrl_MO,6,2,59.92,0,0
ctrl_MO,6,3,30.333,0,0
ctrl_MO,6,4,40.757,0,0
ctrl_MO,6,5,23.436,0,0
ctrl_MO,6,6,33.621,0,0
ctrl_MO,6,7,12.961,0,0
ctrl_MO,6,8,28.354,0,0
ctrl_MO,6,9,18.598,0,0
ctrl_MO,6,10,30.536,0,0
ctrl_MO,6,11,23.938,0,0
ctrl_MO,6,12,31.581,0,0
ctrl_MO,7,1,44.371,0,0
ctrl_MO,7,2,33.308,0,0
ctrl_MO,7,3,35.417,0,0
ctrl_MO,7,4,68.289,0,0
ctrl_MO,7,5,29.432,0,0
ctrl_MO,7,6,72.654,0,0
ctrl_MO,7,7,59.834,0,0
ctrl_MO,7,8,24.851,0,0
ctrl_MO,7,9,35.02,0,0
ctrl_MO,7,10,39.172,0,0
ctrl_MO,7,11,28.433,0,0
ctrl_MO,8,1,30.903,0,0
ctrl_MO,8,2,63.343,0,0
ctrl_MO,8,3,27.604,0,0
ctrl_MO,8,4,19.289,0,0
ctrl_MO,8,5,25.201,0,0
ctrl_MO,8,6,28.105,0,0
ctrl_MO,8,7,32.051,0,0
ctrl_MO,8,8,27.212,0,0
ctrl_MO,8,9,31.384,0,0
ctrl_MO,8,10,17.315,0,0
ctrl_MO,8,11,27.623,0,0
ctrl_MO,8,12,41.673,0,0
ctrl_MO,8,13,43.25,0,0
ctrl_MO,9,1,32.934,0,2
ctrl_MO,9,2,25.739,0,2
ctrl_MO,9,3,22.027,0,2
ctrl_MO,9,4,48.94,0,2
ctrl_MO,9,5,45.166,0,2
ctrl_MO,9,6,55.205,0,2
