dff,fluor
0.122533515,GCaMP6s-CAAX
0.06096783,GCaMP6s-CAAX
0.06951864,GCaMP6s-CAAX
0.03939755,GCaMP6s-CAAX
0.053230513,GCaMP6s-CAAX
0.05317588,GCaMP6s-CAAX
0.0558218,GCaMP6s-CAAX
0.047339503,GCaMP6s-CAAX
0.059294466,GCaMP6s-CAAX
0.055515353,GCaMP6s-CAAX
0.055129,GCaMP6s-CAAX
0.05745856,GCaMP6s-CAAX
0.048885748,GCaMP6s-CAAX
0.07375616,GCaMP6s-CAAX
0.06426969,GCaMP6s-CAAX
0.06618976,GCaMP6s-CAAX
0.055488713,GCaMP6s-CAAX
0.059774317,GCaMP6s-CAAX
0.061895747,GCaMP6s-CAAX
0.07288663,GCaMP6s-CAAX
0.051953264,GCaMP6s-CAAX
0.06440364,GCaMP6s-CAAX
0.053817026,GCaMP6s-CAAX
0.062804766,GCaMP6s-CAAX
0.053954836,GCaMP6s-CAAX
0.054668266,GCaMP6s-CAAX
0.060114734,GCaMP6s-CAAX
0.06507162,GCaMP6s-CAAX
0.07600615,GCaMP6s-CAAX
0.061813533,GCaMP6s-CAAX
0.0798494,GCaMP6s-CAAX
0.072778456,GCaMP6s-CAAX
0.07736646,GCaMP6s-CAAX
0.06123806,GCaMP6s-CAAX
0.069248155,GCaMP6s-CAAX
0.07595608,GCaMP6s-CAAX
0.061963324,GCaMP6s-CAAX
0.061842725,GCaMP6s-CAAX
0.0635854,GCaMP6s-CAAX
0.06507007,GCaMP6s-CAAX
0.06670894,GCaMP6s-CAAX
0.067865826,GCaMP6s-CAAX
0.054412447,GCaMP6s-CAAX
0.082381316,GCaMP6s-CAAX
0.06931017,GCaMP6s-CAAX
0.066396624,GCaMP6s-CAAX
0.067448646,GCaMP6s-CAAX
0.050537042,GCaMP6s-CAAX
0.053607237,GCaMP6s-CAAX
0.05239889,GCaMP6s-CAAX
0.061344996,GCaMP6s-CAAX
0.0661475,GCaMP6s-CAAX
0.057326578,GCaMP6s-CAAX
0.0681011,GCaMP6s-CAAX
0.0580426,GCaMP6s-CAAX
0.057211228,GCaMP6s-CAAX
0.058525275,GCaMP6s-CAAX
0.05786011,GCaMP6s-CAAX
0.052148573,GCaMP6s-CAAX
0.068383306,GCaMP6s-CAAX
0.064691916,GCaMP6s-CAAX
0.07538458,GCaMP6s-CAAX
0.056035217,GCaMP6s-CAAX
0.0618945,GCaMP6s-CAAX
0.07186738,GCaMP6s-CAAX
0.085277356,GCaMP6s-CAAX
0.07049571,GCaMP6s-CAAX
0.05147117,GCaMP6s-CAAX
0.061467435,GCaMP6s-CAAX
0.0836871,GCaMP6s-CAAX
0.05875715,GCaMP6s-CAAX
0.067661494,GCaMP6s-CAAX
0.08829867,GCaMP6s-CAAX
0.07611176,GCaMP6s-CAAX
0.06328944,GCaMP6s-CAAX
0.05812201,GCaMP6s-CAAX
0.29970598,GCaMP6s-CAAX
0.059820347,GCaMP6s-CAAX
0.05048593,GCaMP6s-CAAX
0.12229137,GCaMP6s-CAAX
0.102918334,GCaMP6s-CAAX
0.058902074,GCaMP6s-CAAX
0.06917548,GCaMP6s-CAAX
0.065489374,GCaMP6s-CAAX
0.10315775,GCaMP6s-CAAX
0.07341655,GCaMP6s-CAAX
0.10982555,GCaMP6s-CAAX
0.08442417,GCaMP6s-CAAX
0.072983615,GCaMP6s-CAAX
0.054548167,GCaMP6s-CAAX
0.13417488,GCaMP6s-CAAX
0.14928858,GCaMP6s-CAAX
0.081841424,GCaMP6s-CAAX
0.07783339,GCaMP6s-CAAX
0.061081108,GCaMP6s-CAAX
0.09591484,GCaMP6s-CAAX
0.07964238,GCaMP6s-CAAX
0.09843501,GCaMP6s-CAAX
0.08546724,GCaMP6s-CAAX
0.08131936,GCaMP6s-CAAX
0.10496229,GCaMP6s-CAAX
0.0813393,GCaMP6s-CAAX
0.08591736,GCaMP6s-CAAX
0.09968789,GCaMP6s-CAAX
0.08276098,GCaMP6s-CAAX
0.08455219,GCaMP6s-CAAX
0.1350703,GCaMP6s-CAAX
0.069698036,GCaMP6s-CAAX
0.086938955,GCaMP6s-CAAX
0.07348068,GCaMP6s-CAAX
0.10695713,GCaMP6s-CAAX
0.073723815,GCaMP6s-CAAX
0.08183008,GCaMP6s-CAAX
0.07554825,GCaMP6s-CAAX
0.10234738,GCaMP6s-CAAX
0.09279039,GCaMP6s-CAAX
0.09787314,GCaMP6s-CAAX
0.09387476,GCaMP6s-CAAX
0.09427176,GCaMP6s-CAAX
0.096463166,GCaMP6s-CAAX
0.12773982,GCaMP6s-CAAX
0.08441675,GCaMP6s-CAAX
0.1836442,GCaMP6s-CAAX
0.079757825,GCaMP6s-CAAX
0.07269305,GCaMP6s-CAAX
0.085587114,GCaMP6s-CAAX
0.061635844,GCaMP6s-CAAX
0.10335739,GCaMP6s-CAAX
0.101746075,GCaMP6s-CAAX
0.058976937,GCaMP6s-CAAX
0.07063244,GCaMP6s-CAAX
0.28078538,GCaMP6s-CAAX
0.09145756,GCaMP6s-CAAX
0.24067307,GCaMP6s-CAAX
0.07116959,GCaMP6s-CAAX
0.099026516,GCaMP6s-CAAX
0.078728065,GCaMP6s-CAAX
0.13083252,GCaMP6s-CAAX
0.06411277,GCaMP6s-CAAX
0.085155465,GCaMP6s-CAAX
0.060182057,GCaMP6s-CAAX
0.050247908,GCaMP6s-CAAX
0.06548816,GCaMP6s-CAAX
0.062190153,GCaMP6s-CAAX
0.052985914,GCaMP6s-CAAX
0.06938486,GCaMP6s-CAAX
0.0787523,GCaMP6s-CAAX
0.058515448,GCaMP6s-CAAX
0.06360933,GCaMP6s-CAAX
0.07243303,GCaMP6s-CAAX
0.06840809,GCaMP6s-CAAX
0.06836549,GCaMP6s-CAAX
0.06399297,GCaMP6s-CAAX
0.074807286,GCaMP6s-CAAX
0.07362703,GCaMP6s-CAAX
0.06577002,GCaMP6s-CAAX
0.08326608,GCaMP6s-CAAX
0.05376324,GCaMP6s-CAAX
0.06397639,GCaMP6s-CAAX
0.07383991,GCaMP6s-CAAX
0.07452702,GCaMP6s-CAAX
0.060165796,GCaMP6s-CAAX
0.0644863,GCaMP6s-CAAX
0.051569916,GCaMP6s-CAAX
0.06166347,GCaMP6s-CAAX
0.057775915,GCaMP6s-CAAX
0.073468424,GCaMP6s-CAAX
0.05555028,GCaMP6s-CAAX
0.055375062,GCaMP6s-CAAX
0.06336353,GCaMP6s-CAAX
0.054582432,GCaMP6s-CAAX
0.06501406,GCaMP6s-CAAX
0.11484104,GCaMP6s-CAAX
0.097775035,GCaMP6s-CAAX
0.06844261,GCaMP6s-CAAX
0.090604864,GCaMP6s-CAAX
0.06432029,GCaMP6s-CAAX
0.07502701,GCaMP6s-CAAX
0.062106133,GCaMP6s-CAAX
0.0736822,GCaMP6s-CAAX
0.044499077,GCaMP6s-CAAX
0.057417214,GCaMP6s-CAAX
0.06299123,GCaMP6s-CAAX
0.05348668,GCaMP6s-CAAX
0.05251261,GCaMP6s-CAAX
0.056488365,GCaMP6s-CAAX
0.056091715,GCaMP6s-CAAX
0.060924374,GCaMP6s-CAAX
0.058614496,GCaMP6s-CAAX
0.06984174,GCaMP6s-CAAX
0.06052954,GCaMP6s-CAAX
0.06670434,GCaMP6s-CAAX
0.05236518,GCaMP6s-CAAX
0.069421664,GCaMP6s-CAAX
0.06839988,GCaMP6s-CAAX
0.066232584,GCaMP6s-CAAX
0.06310422,GCaMP6s-CAAX
0.08084473,GCaMP6s-CAAX
0.076290324,GCaMP6s-CAAX
0.07548147,GCaMP6s-CAAX
0.08928066,GCaMP6s-CAAX
0.13502997,GCaMP6s-CAAX
0.091678105,GCaMP6s-CAAX
0.07508922,GCaMP6s-CAAX
0.07406979,GCaMP6s-CAAX
0.07390972,GCaMP6s-CAAX
0.07336014,GCaMP6s-CAAX
0.068582594,GCaMP6s-CAAX
0.067948975,GCaMP6s-CAAX
0.06369479,GCaMP6s-CAAX
0.062476538,GCaMP6s-CAAX
0.061729964,GCaMP6s-CAAX
0.061336946,GCaMP6s-CAAX
0.060793836,GCaMP6s-CAAX
0.059710134,GCaMP6s-CAAX
0.05899441,GCaMP6s-CAAX
0.05773054,GCaMP6s-CAAX
0.053969637,GCaMP6s-CAAX
0.05367284,GCaMP6s-CAAX
0.055419005,GCaMP6s-CAAX
0.06527035,GCaMP6s-CAAX
0.052211978,GCaMP6s-CAAX
